Location	Category
rhizosphere of impatiens balsamina l.	Rhizosphere
rhizosphere of maize	Rhizosphere
rhizosphere of onion	Rhizosphere
rhizosphere of orchid	Rhizosphere
rhizosphere of panax ginseng	Rhizosphere
rhizosphere of peach	Rhizosphere
rhizosphere of pepper	Rhizosphere
rhizosphere of plant	Rhizosphere
rhizosphere of potato	Rhizosphere
rhizosphere of rape	Rhizosphere
rhizosphere of rice	Rhizosphere
rhizosphere of salix caprea	Rhizosphere
rhizosphere of sedge	Rhizosphere
rhizosphere of sorrel (rumex acetosa) from a kitchen garden	Rhizosphere
rhizosphere of strawberry plant	Rhizosphere
rhizosphere of the flower mugunghwa	Rhizosphere
rhizosphere of the mangrove plant	Rhizosphere
rhizosphere of the plant	Rhizosphere
rhizosphere of tomato plants	Rhizosphere
rhizosphere of typha angustiflora	Rhizosphere
rhizosphere of vellozia epidendroides specimens	Rhizosphere
rhizosphere of wheat	Rhizosphere
rhizosphere of white elm	Rhizosphere
rhizosphere of wild oats	Rhizosphere
rhizosphere of wild pea growing in a coastal sand dune area.	Rhizosphere
rhizosphere of wild rye growing in a coastal sand dune area	Rhizosphere
rhizosphere of willow roots	Rhizosphere
rhizosphere sample	Rhizosphere
rhizosphere sample from melaleuca citrina	Rhizosphere
rhizosphere sediment	Rhizosphere
rhizosphere sediment of phragmites karka from lake water	Rhizosphere
rhizosphere soil	Rhizosphere
rhizosphere soil culture m44	Rhizosphere
rhizosphere soil culture m46	Rhizosphere
rhizosphere soil culture m52	Rhizosphere
rhizosphere soil culture m56	Rhizosphere
rhizosphere soil culture m58	Rhizosphere
rhizosphere soil culture m59	Rhizosphere
rhizosphere soil from camphor tree	Rhizosphere
rhizosphere soil from rice plant	Rhizosphere
rhizosphere soil from sugare cane field	Rhizosphere
rhizosphere soil in an alfalfa field	Rhizosphere
rhizosphere soil in mangrove avicennia marina forest	Rhizosphere
rhizosphere soil of a cactus on cliff	Rhizosphere
rhizosphere soil of a desert xerophyte	Rhizosphere
rhizosphere soil of a mangrove plant	Rhizosphere
rhizosphere soil of a medicinal herb angelica sinensis	Rhizosphere
rhizosphere soil of a withered mangrove	Rhizosphere
rhizosphere soil of aconitum carmichaelii	Rhizosphere
rhizosphere soil of ageratina adenophora	Rhizosphere
rhizosphere soil of alhagi sparsifolia	Rhizosphere
rhizosphere soil of aquilegia viridiflora	Rhizosphere
rhizosphere soil of carrot	Rhizosphere
rhizosphere soil of cistus ladanifer plants	Rhizosphere
rhizosphere soil of citrus sinenesis	Rhizosphere
rhizosphere soil of corn	Rhizosphere
rhizosphere soil of fern	Rhizosphere
rhizosphere soil of hibiscus syriacus	Rhizosphere
rhizosphere soil of kalidium foliatum	Rhizosphere
rhizosphere soil of mangrove	Rhizosphere
rhizosphere soil of mangroves	Rhizosphere
rhizosphere soil of peanut	Rhizosphere
rhizosphere soil of plants	Rhizosphere
rhizosphere soil of radix ophiopogonis	Rhizosphere
rhizosphere soil of rice	Rhizosphere
rhizosphere soil of spartina alterniflora	Rhizosphere
rhizosphere soil of sunflower (helianthus annuus l.)	Rhizosphere
rhizosphere soil of the bayonet grass (bolboschoenus maritimus)	Rhizosphere
rhizosphere soil of tomato plant	Rhizosphere
rhizosphere soil of tomato plants	Rhizosphere
rhizosphere soil of wheat	Rhizosphere
rhizosphere soil of wild rice	Rhizosphere
rhizosphere soil of xanthium sibiricum	Rhizosphere
rhizosphere soil on a cliff	Rhizosphere
rhizosphere soil samples of opuntia stricta	Rhizosphere
rhizosphere soils from wild rice	Rhizosphere
rhizosphere; bulk soil and roots	Rhizosphere
rhizospheric soil	Rhizosphere
rhizospheric soil of grasses	Rhizosphere
rhizospheric soil of lamium barbatum	Rhizosphere
rhizospheric soil of mangrove plant; ceriops tagal	Rhizosphere
rhizospheric soil of panax notogensing	Rhizosphere
rhizospheric soil of rice	Rhizosphere
rhizospheric soil under an elephant ear plant (colocasia esculenta)	Rhizosphere
rice rhizosphere	Rhizosphere
rice rhizosphere soil	Rhizosphere
rice root	Rhizosphere
rice root associated bacteria	Rhizosphere
rice root soil	Rhizosphere
root nodule of sesbania cannabina	Rhizosphere
root nodule of trifolium repens growing with lolium perenne in a breeding trial plot	Rhizosphere
root nodule of vicia costata	Rhizosphere
root nodule[po:0003023]	Rhizosphere
root nodules	Rhizosphere
root nodules from wild/native soil	Rhizosphere
root nodules of a roadside black locust	Rhizosphere
root nodules of aeschynomene indica	Rhizosphere
root noudule	Rhizosphere
root of dioscorea esculenta	Rhizosphere
root of maize	Rhizosphere
root of native pine tree	Rhizosphere
root outgrowth of legume	Rhizosphere
root rhizomes	Rhizosphere
root sample	Rhizosphere
root segment of a mangrove plant	Rhizosphere
root surface	Rhizosphere
root surface velamen	Rhizosphere
root system	Rhizosphere
root tissue	Rhizosphere
root tissues	Rhizosphere
root-nodule	Rhizosphere
root/leaf	Rhizosphere
roots	Rhizosphere
roots of a desert plant (indigofera sp.)	Rhizosphere
roots of an indian oak tree	Rhizosphere
roots of arthrocnemum macrostachyum	Rhizosphere
roots of desert plants	Rhizosphere
roots of grapevine in idaho	Rhizosphere
roots of halophytes	Rhizosphere
roots of jambolan palm tree	Rhizosphere
roots of oryza sativa	Rhizosphere
roots of peanut	Rhizosphere
roots of plant	Rhizosphere
sand of psammophytic reed rhizosphere	Rhizosphere
sesamum indicum l. rhizosphere soil	Rhizosphere
soil around the roots	Rhizosphere
soil cores containing cogon grass roots	Rhizosphere
soil from oil palm rhizosphere	Rhizosphere
soil of bruguiera gymnorrhiza root	Rhizosphere
soil of cynanchum wilfordii rhizosphere	Rhizosphere
soil of the rhizosphere of bruguera gymnorrhiza	Rhizosphere
soil surrounding root	Rhizosphere
soli at the root of elaeagnus pungens	Rhizosphere
soy bean root isolates	Rhizosphere
soybean root	Rhizosphere
soybean root nodules	Rhizosphere
spring barley rhizosphere	Rhizosphere
sugar beet rhizosphere	Rhizosphere
sugarcane rhizosphere soil	Rhizosphere
surface-sterilized gnotobiotic actinorhizal nodule; gnotobiotic green alder inoculated with speckled alder rhizosphere soil	Rhizosphere
surface-sterilized gnotobiotic actinorhizal nodule; gnotobiotic speckled alder inoculated with speckled alder rhizosphere soil	Rhizosphere
tamarix rhizosphere soil from marine environment	Rhizosphere
tea plant rhizospheric soil	Rhizosphere
tea rhizoplane	Rhizosphere
the rhizosphere of salvia miltiorrhiza	Rhizosphere
the rhizosphere soil	Rhizosphere
the rhizospheric soil of p . tunicoides	Rhizosphere
tobacco rhizosphere soil	Rhizosphere
tobacco roots	Rhizosphere
tomato (solanum lycopersicum) cultivar knowyou301 rhizosphere	Rhizosphere
tomato rhizosphere	Rhizosphere
tomato rhizosphere soil sample	Rhizosphere
vallisneria natans rhizosphere	Rhizosphere
wheat rhizoplane	Rhizosphere
wheat rhizosphere	Rhizosphere
wheat rhizosphere soil	Rhizosphere
wheat rhizospheric soil	Rhizosphere
white spruce rhizosphere	Rhizosphere
zea mays rhizosphere	Rhizosphere
burned holm-oak rizhosphere	Rhizosphere
bean rhizophere	Rhizosphere
rizosphere soil	Rhizosphere
isolated from the roots of chinese cabbage	Rhizosphere
kandelia candel root sediment	Rhizosphere
kandelia root sediment	Rhizosphere
endosphere rhizome	Rhizosphere
pea root nodules	Rhizosphere
root nodule from soybean plant inoculated with root zone soil from amphicarpa bracteata	Rhizosphere
root nodule from soybean plant inoculated with root zone soil from amphicarpaea bracteata	Rhizosphere
virgilia oroboides; root nodules	Rhizosphere
field-collected nodules from wild phaseolus microcarpus	Rhizosphere
soda soil sample	Salt
lake water of 3.4% salinity	Salt
a hypersaline lake	Salt
a rhizosphere mudflat of a halophyte	Salt
alkali-saline soil	Salt
alkaline (ph ~11) and saline (~3% nacl) distillery lime	Salt
alkaline and saline soil	Salt
extremely alkali-saline soil	Salt
hipersaline lagoon	Salt
hyper saline lake	Salt
hypersaline coastal mats	Salt
hypersaline lakes	Salt
hypersaline microbial mat	Salt
hypersaline soda lake bitter-1	Salt
hypersaline soda lake brine	Salt
hypersaline soda lake sediment	Salt
hypersaline soil	Salt
hypersaline soil; spain; alicante	Salt
hypersaline water	Salt
hypersaline water of solar saltern seosin; korea	Salt
hypersaline water sample taken from a saltern	Salt
hypersaline water/sediment	Salt
khadyn soda lake; tyva republic; russia	Salt
marine brine pool	Salt
marine saltern	Salt
marine saltern sediment	Salt
marine solar saltern	Salt
marine solar saltern sediment	Salt
novel isolate from a uk brine cave	Salt
one-year dried salt witout any treatment	Salt
organic; hypersaline lake	Salt
reed periphyton in a shallow soda pond	Salt
rhizosphere mud of a halophyte	Salt
rhizosphere of the salt marsh grasses	Salt
saline alkaline muddy soil	Salt
saline alkaline soil	Salt
saline and alkaline soil	Salt
saline desert soil	Salt
saline desert soil from a stressed ecological environment	Salt
saline environment	Salt
saline estuarine water	Salt
saline habitats; sediments	Salt
saline lake	Salt
saline lake mud	Salt
saline lake sediment	Salt
saline lake water	Salt
saline sediment	Salt
saline sediment enrichment	Salt
saline soda lake	Salt
saline soil	Salt
saline soil bordering a saltern	Salt
saline soil sample from a beach of the xiaochaidamu salt lake	Salt
saline soil samples	Salt
saline soil; wetland	Salt
saline soils	Salt
saline spring sediment	Salt
saline water	Salt
saline water (envo:00002010); including plankton (envo:xxxxxxxx)	Salt
saline water including plankton	Salt
saline water of hot spring with water temperature 37 c	Salt
saline-alkali soil	Salt
saline-alkaline soil	Salt
salt crust	Salt
salt crust on the soil surface	Salt
salt crystallizer	Salt
salt crystallizer of little rann of kutch	Salt
salt field	Salt
salt flat	Salt
salt flat sediment sample	Salt
salt lake	Salt
salt lake sediment	Salt
salt lake soil	Salt
salt march tide pool sediment	Salt
salt marsh	Salt
salt marsh soil	Salt
salt mine	Salt
salt pan	Salt
salt water	Salt
salt water hot spring	Salt
salt water lake	Salt
salt well	Salt
salt-contaminated soil samples	Salt
salt-field sea water	Salt
salt-lake sediment	Salt
salt-saturated mud; israel	Salt
salted water	Salt
saltern	Salt
saltern field soil	Salt
saltern sediment	Salt
saltern sedment	Salt
saltern water	Salt
saltern; microbial mat	Salt
saltwater lake	Salt
saltwater marsh; near woods hole; massachusetts; usa	Salt
salty lake	Salt
salty meadow	Salt
salty soil (1% nacl; w/v)	Salt
sample tc-br; brine of tanatar trona crystallizer	Salt
sediment of salt lake	Salt
sediment of salty lake	Salt
sediments of haloalkaline soda lakes	Salt
sediments of the soda lake	Salt
sediments of the soda-depositing soda lake	Salt
shore soil of salt lake	Salt
sludge from saline lake	Salt
soda alkali-saline soil	Salt
soda lake	Salt
soda lake bitter-3; kulunda steppe; altai region; russia	Salt
soda lake magadi	Salt
soda lake sediment	Salt
soda lake sediments	Salt
soda lake surface water	Salt
soda lake water	Salt
soda lakes	Salt
soda pan (no. 60); water	Salt
soda solonchak (top 5 cm) from the kulunda steppe	Salt
soda solonchak soil	Salt
soda solonchak soils of the kulunda steppe	Salt
soda-saline lake	Salt
sodium hypochlorite	Salt
soil alkaline flat	Salt
soil around the hypersaline lake laguna colorada	Salt
soil collected from an abandoned saltern	Salt
soil from a solar saltern	Salt
soil from an abandoned saltern	Salt
soil from salt field	Salt
soil from the edge of a saline lake	Salt
soil in a hypersaline habitat	Salt
soil in hypersaline habitat	Salt
soil of a solar saltern	Salt
soil sample from the vicinity of an alkaline salt water meteorite lake	Salt
solar altern	Salt
solar lake	Salt
solar panel array [envo:01000867]	Salt
solar salt	Salt
solar saltern	Salt
solar saltern in jeungdo	Salt
solar saltern of 19% salinity	Salt
solar saltern sediment	Salt
solar salterns	Salt
spartina maritima; growing in salt marshes	Salt
dried saline lake	Salt
halophyte	Salt
halophytic plant of the gomishan wetland	Salt
alkaline hot spring	Salt
alkaline hot spring microbial mat	Salt
alkaline hot spring water	Salt
alkaline lake	Salt
alkaline lake (soda lake)	Salt
alkaline lakes located in grant county	Salt
alkaline lonar lake	Salt
alkaline pod	Salt
alkaline salt lake	Salt
alkaline sediment	Salt
alkaline siliceous hot spring microbial mat	Salt
alkaline sludge	Salt
alkaline spring	Salt
alkaline; sulfidic hot spring cone pool 2	Salt
acidic saline drain; ph 2.1; 130 g/l chloride; 1.4 g/l iron(ii)	Salt
aerobic sediments from hypersaline soda lake	Salt
african saline oil-producing well	Salt
anaerobic sediment from hypersaline soda lake	Salt
anaerobic sediments from hypersaline soda lake	Salt
anoxic; hypersaline lake sediments	Salt
antarctic saline pond copepod	Salt
brazilian saline-alkaline lake	Salt
brine	Salt
brine fluids	Salt
brine from former salt mine borehole	Salt
brine from the bochnia salt mine	Salt
brine of a salt well	Salt
brine pool	Salt
brine water; atlantis ii deep; red sea; 2000 m depth	Salt
brine-seawater interface	Salt
brine-seawater interface of the shaban deep in the red sea	Salt
brines	Salt
cock soda lake; kulunda steppe	Salt
cryopeg brine water	Salt
enrichment culture from haloalkaline lake	Salt
enrichment culture from water sample collected from hypersaline alkaline lakes	Salt
gravely sediment from non-saline neutral hot spring sediments	Salt
high arctic cold saline sulfur spring anaerobic sediment	Salt
lake burton (antarctic saline lagoon)	Salt
microbial filaments from arctic saline spring	Salt
microbial mat from athalassic saline lake	Salt
microbial mat from hypersaline lagoon	Salt
microbial mat from hypersaline water environment	Salt
microbial mat from saline sulfide-rich spring	Salt
mineralizing microbial mat of hypersaline lake 21	Salt
mixed sediment samples from 8 hypersaline; alkaline lakes	Salt
mixed water and sediment from a saline-alkaline lake	Salt
mixed water and sediment sample from a saline-alkaline lake	Salt
moderately saline water	Salt
sample taken at 6 m depth at the hypersaline; meromictic and heliothermal ekho	Salt
sediment from a highly alkaline saline soda lake on the kulunda steppe	Salt
sediment from a soda lake	Salt
sediment permeated by saline water	Salt
sediments from the five highly alkaline soda lakes of kenya	Salt
sediments hypersaline lake	Salt
single-cell amplified by wga-x from cold saline spring sediment	Salt
surface saline water	Salt
water from a salt pit	Salt
water from alkaline lake	Salt
water from gahai saline lake	Salt
water from saline wetland	Salt
water of the hypersaline aran-bidgol lake in iran	Salt
bacterial bloom in the brine under trona from alkaline equatorial lake	Salt
gomso solar saltern	Salt
xiaochaidan salt lake	Salt
a marine solar saltern	Salt
a soda lake	Salt
enrichment culture inoculated with sediment from anoxic soda lake	Salt
lop nur salt lake	Salt
microbial mat of salt lake	Salt
yuncheng salt lake	Salt
1 m water sample of hypersaline; heliothermal and meromictic antarctic ekho lake	Salt
bitter-1 soda lake sediments	Salt
mesotrophic; salinic lake	Salt
sediment from highly alkaline soda lake	Salt
sediment from salt lake	Salt
sediment from saltern	Salt
sediment from sulfur spring	Salt
sulfur rich salt springs	Salt
urmia lake water	Salt
water from a saline meromictic lagoon	Salt
water from salt lake	Salt
water of soda pans	Salt
water sample	Salt
water sample bottle	Salt
water sample from a haloalkaline lake	Salt
water; lake; solar lake	Salt
yellow sea salt field	Salt
big soda lake; nevada	Salt
aboveground tissues of the halophyte halimione portulacoides collected from a salt marsh in ria de aveiro	Salt
anoxic sediment from soda lake	Salt
dead sea	Salt
dead sea sediment	Salt
deep subsurface anoxic brine	Salt
evaporation pond of a saltern	Salt
filtrate 34% nacl saltern water	Salt
flat; laminated microbial mat in a salt marsh	Salt
fleur de sel	Salt
fleur de sel salt	Salt
wendeng saltern	Salt
water sample from saltern	Salt
sediment-brine interface of the shaban deep in the red sea	Salt
tanatar iii soda lake	Salt
acidic salty water	Salt
acidic; salty water	Salt
antarctic coastal sea-ice brine	Salt
bottom mud of the soda-depositing lake	Salt
chott el djerid salt lake	Salt
chukhyn-nyr soda lake; microbial mat in the coastal zone	Salt
sediment of an alkaline crater lake	Salt
sediment of tanatar iii alkaline salt lake	Salt
untreated salt marsh sediment	Salt
water collecting ditch near lake tanatar iii	Salt
bioreactors innoculated with microbial mats from alkaline soda lake	Salt
contaminant of a culture medium containing 25% nacl	Salt
kebrit brine-seawater interface	Salt
sediment from a marine solar saltern	Salt
sediment sample collected from a solar saltern	Salt
sediment sample of a salt marsh in a wild ass sanctuary	Salt
continental solfataric spring; lac abbe	Salt
water of socompa lake	Salt
water sample from sambhar lake	Salt
altiplano of northern chile	Salt
the sediment and water of the northeast shoreline of lake el hamra; a soda lake in the wadi el natroun region of egypt.	Salt
great salt lake sediment	Salt
lake alchichica microbialites	Salt
lake malyi kasytui; a shallow soda reservoir	Salt
lonar lake	Salt
lonar lake sediment	Salt
lonar lake sediments	Salt
lonar lake water sample	Salt
superficial sediment of a solar saltern	Salt
terrestrial subsurface brine	Salt
sediment of socompa lake	Salt
sediment of the littoral zone of lake bogoria	Salt
sediment sample pangong lake	Salt
shallow sediments of the salar de huasco lagoon	Salt
barkol salt lake	Salt
daihai lake	Salt
erba brine-seawater interface	Salt
sample dis-bwi from brine seawater interface of discovery deep brine pool	Salt
sanwei salt field	Salt
surface water from chaka lake	Salt
qinghai lake sediment	Salt
tso kar lake water	Salt
hulun lake	Salt
lake shunet	Salt
lake tebenquiche	Salt
mes reactor inoculated with red sea brine pool sample	Salt
kyagar tso lake water	Salt
mineral salt medium	Salt
dhab water	Salt
sample t5-br; brine of lake tanatar-5	Salt
keqin lake	Salt
reed bed mud	Salt
cryopeg water sample	Salt
pit mud	Soil
acidic bog	Soil
0.2 micron size-filtered soil effluent from rhizosphere-associated grassland soil	Soil
0d patty soil	Soil
14d patty soil	Soil
16d patty soil	Soil
3d patty soil	Soil
7d patty soil	Soil
a mixture of oil-based drill cuttings and paddy soil	Soil
a paddy field soil sample	Soil
a soil from a former chemical redistribution company; contaminated with mainly chlorinated aliphatics	Soil
acidic forest soil	Soil
acidic peat soil (ph 4.0) sampled at a depth of 10-20cm (with a water table at approximately 15cm depth) of the sphagnum peat bog bakchar	Soil
acidic soil	Soil
acidic soil of a deciduous forest	Soil
acidic soils	Soil
acidity of soil	Soil
active layer of soil	Soil
active-layer soil at a depth of 1 m from soil core (eur3)	Soil
agricultural soil	Soil
agricultural soil near an extinct volcano	Soil
agricultural soil under long-term mineral fertilization	Soil
agricultural soil; 12c-ch4 incubated ph 4.5 or ph 7.5; selected dna (low %gc) through clcs fractionation	Soil
agricultural soil; no till	Soil
agricultural soils	Soil
agriculture soil	Soil
alkaline soil	Soil
alpine forest soil	Soil
alpine peat bogs	Soil
alpine soil	Soil
alpine soil [envo:00005741]	Soil
alpine steppe soil from semi-arid plateau temperate monsoon climate	Soil
amazon soil (pasture)	Soil
an agricultural soil which has been contaminated with an insecticide ddt for about 60 years	Soil
an arable soil sample of tobacco	Soil
ancient permafrost soil	Soil
anoxic soil	Soil
antarctic soil	Soil
antarctica soil	Soil
apple orchard soil	Soil
arable soil	Soil
arctic soil	Soil
arctic wetland soil	Soil
arctica soil	Soil
arid soil	Soil
arid soil collected from a coastal desert north of antofagasta in chile	Soil
arid soil sample	Soil
aromatic-compound-contaminated garden soil	Soil
arsenic contaminated soil	Soil
arsenic-contaminated soil	Soil
atacama desert soil	Soil
bamboo forest soil	Soil
bank soil	Soil
bare soil	Soil
battery waste soil	Soil
beach soil	Soil
bigeum island farming field soil	Soil
biochar-amended oxisol soil plot 1	Soil
biochar-amended oxisol soil plot 3	Soil
biochar-amended oxisol soil plot 4	Soil
biochar-amended oxisol soil plot 8	Soil
biological soil crust	Soil
biological soil crust from avdat lter; negev desert; israel	Soil
biological soil crusts	Soil
bog soil from slope of durykino raven	Soil
brazilian soil	Soil
btex-contaminated soil	Soil
bulk soil	Soil
bulk soil from grassland	Soil
bulk soil from sugarcane field	Soil
campfire topsoil	Soil
cassava pulp and soil	Soil
cast from soil	Soil
cave ground	Soil
cave soil	Soil
cave soil of meerkat (suricata suricatta) in a zoo	Soil
cave soil sample	Soil
cellulolytic consortium obtained from decaying native forest soil	Soil
cerrado soil	Soil
champenoux soil	Soil
chemical factory soil	Soil
chemical plant soil	Soil
chernozem soil	Soil
chitin enrichment of biocrust soil	Soil
chromate-contaminated soil	Soil
chromium-contaminated wetland soil	Soil
chubu hospital garden soil	Soil
clay	Soil
clay mineral	Soil
clay soil	Soil
clay soil in riverine area	Soil
clopyralid contaminated soil	Soil
composite arid soil	Soil
compost soil	Soil
coniferous forest soil	Soil
contaminated soil	Soil
contaminated soil from pesticide factory	Soil
control oxisol soil plot 2	Soil
control oxisol soil plot 5	Soil
control oxisol soil plot 6	Soil
control oxisol soil plot 7	Soil
cool soil environment in northern ireland	Soil
copper contaminated soil from hygum site	Soil
corn field soil	Soil
corn silage bulk soil	Soil
cotton field	Soil
cotton field soil	Soil
cotton soil with polyaspartic acid water retaining agent	Soil
cranberry bog soil	Soil
creosote-contaminated soil	Soil
creosote-polluted soil	Soil
cropland soil	Soil
crude oil contaminated soil	Soil
crude oil-contaminated soil	Soil
crude oil-contamination soil	Soil
crude oil-polluted soil	Soil
crude-oil contaminated soil	Soil
culture 15 inoculated with patty soil	Soil
cyanobacterial mat collected from soil from a sugarcane field	Soil
ddt-contaminated soil	Soil
decaying forest soil	Soil
desert soil	Soil
desert steppe soil	Soil
diesel contaminated soil	Soil
diesel fuel contaminated soil	Soil
dried soil	Soil
dried soil of dokdo	Soil
dry soil	Soil
dry; loamy soil from tree root from traffic island	Soil
earth	Soil
earthworm bio-fertilizer soil	Soil
enriched soil	Soil
enrichment culture from a chitin containing soil sample from ant hill	Soil
enveronmental soil	Soil
environmental; soil	Soil
environmental; surface soil	Soil
envo_00005750 (grassland soil)	Soil
envo:00001998 (soil)	Soil
extreme hyper-arid soil	Soil
factory soil	Soil
farm soil	Soil
farm soil situated underneath a manure heap	Soil
farm-soil	Soil
farmed soil	Soil
farmland soil	Soil
feather enriched garden soil	Soil
fertile soil in a ploughed field	Soil
fetilized topsoil	Soil
field soil	Soil
fluoranthene and benzapyren contaminated soil	Soil
fluoroglycofen contaminated soil	Soil
forest humus	Soil
forest mud	Soil
forest soi	Soil
forest soil	Soil
forest soil (upper a horizon)	Soil
forest soil [envo_00002261]	Soil
forest soil collected in oct 2013; oct 2014; and nov 2016	Soil
forest soil communities across north america	Soil
forest soil exposed to antibiotic pressure	Soil
forest soil of shengnongjia	Soil
forest soil sample	Soil
forest soil; hyogo prefecture; japan	Soil
forest soil; soft coal slag	Soil
forested tundra	Soil
forested tundra soil	Soil
frdc_fjaler soil; ph 3.7	Soil
frdc_fjaler soil; ph 7.4	Soil
fresh creek bank soil; topsoil	Soil
freshwater wetland soil	Soil
frozen soil	Soil
frozen soil [envo_01001526]|leafy wood soil [envo_00005783]	Soil
fuel-contaminated soil	Soil
g0 mineral horizon of acid waterlogged soil (gleysol) under a deciduous forest	Soil
gamma-irradiated soil	Soil
garbage incineration plant soil	Soil
garden	Soil
garden field soil	Soil
garden soil	Soil
garden soil (kribb; daejeon; south korea)	Soil
garden soil exposed to microwave radiation	Soil
gingeng soil	Soil
ginseng cultivating soil	Soil
ginseng cultivation soil	Soil
ginseng field soil	Soil
ginseng soil	Soil
glacial forefield (soil)	Soil
glacial foreland till	Soil
glacier forefield soil	Soil
glacier soil	Soil
glacier surface soil	Soil
glyphosate-polluted soil	Soil
gobi habitat soil	Soil
gobi soil	Soil
granitic desert soil	Soil
granitic soil	Soil
granitic soil; undisturbed desert	Soil
grass soil	Soil
grass-field soil	Soil
grasses cover soil from open highland	Soil
grassland field	Soil
grassland soil	Soil
grassland soil of experimental farm	Soil
grasslands	Soil
grassy area	Soil
gravel soil (30 cm depth)	Soil
gravelly and rocky gypsiferous soil near a gypsum mine	Soil
green-house soil	Soil
greenhouse soil	Soil
groundwater contaminated with aromatic compounds from motor fuel in sandy soil from eden hill; swan coastal plain; perth; western australia	Soil
grove soil	Soil
gurbantunggut desert	Soil
hazelnut soil	Soil
heavy metal contaminated soil	Soil
heavy metal polluted soil	Soil
heavy-metal contaminated paddy soil	Soil
heavy-metal-polluted farm soil	Soil
hexachlorocyclohexane-contaminated soil	Soil
hexachlorocyclohexane(hch) pesticide-contaminated soil	Soil
high altitude farmland soil	Soil
high altitude soil	Soil
high salinity marsh soil	Soil
high severity burned soil	Soil
himalayan soil	Soil
humic soil	Soil
humified soil	Soil
humus forest soil	Soil
humus soil	Soil
hyperarid desert bare soil	Soil
hyperarid desert sheltered soil	Soil
ice-free soil under anthropogenic influence from the patio of the polish polar station hornsund	Soil
intertidal soil	Soil
iron-rich upland soil	Soil
iron-sulfur acidic soil	Soil
island soil	Soil
isobutane enrichment from soil	Soil
isolated from soil from the genoscope premises	Soil
isolated from the soil of sugarcane fields	Soil
isoproturon-treated agricultural soil	Soil
karst cave soil	Soil
karst cave soil samples	Soil
lakeside soil	Soil
landfill	Soil
landfill cover soil	Soil
landfill land	Soil
landfill soil	Soil
lichi orchard soil	Soil
linuron-contaminated soil	Soil
loamy soil	Soil
loamy soil beneath bambus	Soil
lomas bayas desert soil below boulder	Soil
lomas bayas desert soil beside boulder	Soil
long-term organic manure fertilized alkaline soils	Soil
low severity burned soil	Soil
lysimeter soil	Soil
macrognathotermes sunteri termitarium soil	Soil
maize field	Soil
mangrove intertidal soil surface	Soil
mangrove soil	Soil
maria elena desert soil below boulder	Soil
maybe soil	Soil
meadow soil	Soil
meadow-gley soil under rice	Soil
mercury contaminated soil	Soil
mercury mine soil	Soil
meridian valley soil sampled at qinling mountains; an area in shaanxi province located in pr china.	Soil
microbial mat from rice patty soil	Soil
microcerotermes nervosus termitarium soil	Soil
mineral oil-contaminated soil	Soil
mineral soil	Soil
mineral soil 3-10cm	Soil
mixed sandy soil sample	Soil
mixed soil	Soil
mixed soil sample	Soil
mixture of contaminated soil and water	Soil
moist pit mud soil	Soil
moist soil contaminated with petroleum products	Soil
moraine ridge soil	Soil
moraine soil	Soil
moss bank soil	Soil
moss soil	Soil
mountain area soil	Soil
mountain soil	Soil
ms4-1 sample; antarctic (ecotone) soil	Soil
ms5-1 sample; antarctic (ecotone) soil	Soil
ms7-5 sample; antarctic (ecotone) soil	Soil
mtg-4 sample; antarctic (ecotone) soil	Soil
mtg22-5 sample; antarctic (ecotone) soil	Soil
muck soil	Soil
mud	Soil
mud and water	Soil
mud cellar	Soil
mud flat	Soil
mud from a seasonal forest creek	Soil
mud from freshwater ditch	Soil
mud from terrestrial mud volcano	Soil
mud from terrestrial mus volcano	Soil
mud from the challenger deep in the mariana trench at a depth of 10897 m	Soil
mud from waterfall	Soil
mud in a fermentation cellar used for the production of chinese strong-flavoured liquor	Soil
mud lake	Soil
mud of a creek bank	Soil
mud of a forest creek	Soil
mud of a forest creek bank	Soil
mud of a pond bottom	Soil
mud of lotus field	Soil
mud pit	Soil
mud sediment	Soil
mud slough	Soil
mud surface	Soil
mud volcano	Soil
mud volcano soil sample	Soil
mud; a creek bank	Soil
mud; sediment	Soil
mud; soil or sediment	Soil
mud; water	Soil
mudflat	Soil
mudflat marine sediment	Soil
mulberry soil	Soil
mushroom compost	Soil
mutant from atcc 53666; isolated from a soil sample	Soil
nan madol; pohnpei soil	Soil
natural uranium-rich soil	Soil
near-surface active layer soil samples from the polygonal terrain	Soil
neutral soil and freshwater	Soil
nicotine soil	Soil
no. 24 soil	Soil
non-axenic culture of a cyanobacterium and its heterotrophs; obtained from an amazon rainforest soil sample	Soil
oak tree soil	Soil
offshore soil	Soil
olive tree plantation soil	Soil
one of single-cell amplified genomes of the same soil from a strawberry farm; single-cell genome amplified by mda (multiple displacement amplification)	Soil
opahs polluted soil	Soil
orchard	Soil
orchard soil	Soil
orchardgrass silage	Soil
organic soil	Soil
ornithogenic soil	Soil
overheated manure compost	Soil
oxic soil sample	Soil
paddy field soil	Soil
paddy field soil in japan	Soil
paddy soil	Soil
paddy soil amended with rice straw	Soil
paddy soil under the long-term application of triazophos insecticide	Soil
paddy soils	Soil
pah contaminated soil	Soil
pahs polluted site soil	Soil
pahs polluted soil	Soil
pahs-contaminated soil	Soil
park soil	Soil
pasture soil	Soil
pcb contaminated soil	Soil
pcb contaminated upland soil	Soil
pear garden topsoil	Soil
pear orchard soil	Soil
peat	Soil
